contenedor_key,contenedor_id,pedido,parcial,naviera,puerto,deposito_vacio
778,MSMU7867746,8000149 P9  5700011051 P2 FSC GE,,MSC,NAPORTEC,MEDLOG
779,MSMU7884851,8000251 P1 - 8000252 P1 FSC GE,RE-07932,MSC,TPG,MEDLOG
780,MSMU7895286,8000218 P1 FSC GE,RE-54910,MSC,RE-54910,MEDLOG
781,MSMU7936847,8000204 P1 FSC GG,,MSC,NAPORTEC,MEDLOG
782,MSMU7981050,8000192  P3 FSC GG,,MSC,CGSA,MEDLOG
783,MSMU8025486,8000175 P7 FSC GE,,MSC,CGSA,MEDLOG
784,MSMU8085124,8000171 P3 - 213 P5 - 234 P2 FSC GG,,MSC,TPG,MEDLOG
785,MSMU8085377,8000251 P1 - 8000252 P1 FSC GE,RE-07932,MSC,TPG,MEDLOG
786,MSMU8096751,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,RE-05174,MSC,RE-05174,MEDLOG
787,MSMU8109817,8000198 P1-175 P13 FSC GE,,MSC,NAPORTEC,MEDLOG
788,MSMU8110485,5700010798 P3 CARTULINA GE,,MSC,TPG,MEDLOG
789,MSMU8133006,8000212 P3 - 8000213 P2 FSC GG,,MSC,TPG,MEDLOG
790,MSMU8146180,8000212 P3 - 8000213 P2 FSC GG,,MSC,TPG,MEDLOG
791,MSMU8149131,5700011051 P10 P11 - 8000212 P4 - 213 P4 P6 - 242,,MSC,TPG,MEDLOG
792,MSMU8154333,5700011107 P4 GG,,MSC,TPG,MEDLOG
793,MSMU8187661,5700011108 P2 GG,RE-07749,MSC,RE-07749,MEDLOG
794,MSMU8207330,8000215 P1 FSC GG,RE-54392,MSC,RE-54392,MEDLOG
795,MSMU8274576,8000215 P2 FSC GE,RE-06205,MSC,RE-06205,MEDLOG
796,MSMU8336301,8000229 P1 FSC GE,RE-06198,MSC,RE-06198,MEDLOG
797,MSMU8487592,8000212 P3 - 8000213 P2 FSC GG,,MSC,TPG,MEDLOG
798,MSMU8495617,8000171 P3 - 213 P5 - 234 P2 FSC GG,,MSC,TPG,MEDLOG
799,MSMU8503498,5700011108 P1 - 11051 P9 - 8000171 P4 FSC GE,,MSC,TPG,MEDLOG
800,MSMU8544645,8000159 P9 -8000175 P3 FSC GE,,MSC,CGSA,MEDLOG
801,MSMU8626110,5700011067 P5 - 8000203 P2 - 212 P5 - 8000242 P4 F,RE-05174,MSC,RE-05174,MEDLOG
802,MSMU8647788,8000236 P4 FSC GE,RE-04220,MSC,RE-04220,MEDLOG
803,MSMU8686043,8000159 P9 -8000175 P3 FSC GE,,MSC,CGSA,MEDLOG
804,MSMU8689398,8000204 P1 FSC GG,,MSC,NAPORTEC,MEDLOG
805,MSMU8704949,8000171 P3 - 213 P5 - 234 P2 FSC GG,,MSC,TPG,MEDLOG
806,MSMU8718460,8000149 P7- 171 P2 -175 P11 FSC GG,,MSC,CGSA,MEDLOG
807,MSMU8755524,8000234 P1 FSC GE,,MSC,TPG,MEDLOG
808,MSMU8858517,8000175 P4 FSC GE,,MSC,CGSA,MEDLOG
809,MSMU8912578,8000236 P4 FSC GE,RE-04220,MSC,RE-04220,MEDLOG
810,MSMU8928907,8000251 P1 - 8000252 P1 FSC GE,RE-07932,MSC,TPG,MEDLOG
811,MSMU8951595,5700010798 P3 CARTULINA GE,,MSC,TPG,MEDLOG
812,MSMU8952821,8000175 P4 FSC GE,,MSC,CGSA,MEDLOG
813,MSMU8953556,8000192  P3 FSC GG,,MSC,CGSA,MEDLOG
814,MSMU8973784,8000149 P8 FSC GE,,MSC,CGSA,MEDLOG
815,MSNU5115260,5700011284 P2 GE,RE-05558,MSC,TPG,MEDLOG
816,MSNU5139180,8000236 P4 FSC GE,RE-04220,MSC,RE-04220,MEDLOG
817,MSNU5140746,5700011108 P2 GG,RE-07749,MSC,RE-07749,MEDLOG
818,MSNU5145476,5700011108 P1 - 11051 P9 - 8000171 P4 FSC GE,,MSC,TPG,MEDLOG
819,MSNU5203778,8000215 P2 FSC GE,RE-06205,MSC,RE-06205,MEDLOG
